Jack Matthews|Lady in the Water|3.000000
Jack Matthews|Snakes on a Plane|4.000000
Jack Matthews|You, Me and Dupree|3.500000
Jack Matthews|Superman Returns|5.000000
Jack Matthews|The Night Listener|3.000000
Mick LaSalle|Lady in the Water|3.000000
Mick LaSalle|Snakes on a Plane|4.000000
Mick LaSalle|Just My Luck|2.000000
Mick LaSalle|Superman Returns|3.000000
Mick LaSalle|You, Me and Dupree|2.000000
Mick LaSalle|The Night Listener|3.000000
Claudia Puig|Snakes on a Plane|3.500000
Claudia Puig|Just My Luck|3.000000
Claudia Puig|You, Me and Dupree|2.500000
Claudia Puig|Superman Returns|4.000000
Claudia Puig|The Night Listener|4.500000
Lisa Rose|Lady in the Water|2.500000
Lisa Rose|Snakes on a Plane|3.500000
Lisa Rose|Just My Luck|3.000000
Lisa Rose|Superman Returns|3.500000
Lisa Rose|The Night Listener|3.000000
Lisa Rose|You, Me and Dupree|2.500000
Toby|Snakes on a Plane|4.500000
Toby|Superman Returns|4.000000
Toby|You, Me and Dupree|1.000000
Gene Seymour|Lady in the Water|3.000000
Gene Seymour|Snakes on a Plane|3.500000
Gene Seymour|Just My Luck|1.500000
Gene Seymour|Superman Returns|5.000000
Gene Seymour|You, Me and Dupree|3.500000
Gene Seymour|The Night Listener|3.000000
Michael Phillips|Lady in the Water|2.500000
Michael Phillips|Snakes on a Plane|3.000000
Michael Phillips|Superman Returns|3.500000
Michael Phillips|The Night Listener|4.000000
